project_id,slug,forked_from,fork,is_fork,license,default_branch,language,created_at,updated_at,num_core,num_commit,num_committer,num_commit_total,num_committer_total,num_star_GHT,num_star_GH,num_download,reverse_dependency_count,first_commit_date,age,num_issue,num_issue_total,num_closed,num_closed_total,num_external,num_external_total,num_pr,num_pr_total,project_type,size,size_GH,earning_last9months,total_earning,tip4commit,salt,flattr,patreon,paypal,bountysource,tidelift,kickstarter,opencollective,liberapay,tip4commit_sha,tip4commit_date,tip4commit_url,salt_sha,salt_date,salt_url,flattr_sha,flattr_date,flattr_url,patreon_sha,patreon_date,patreon_url,paypal_sha,paypal_date,paypal_url,bountysource_sha,bountysource_date,bountysource_url,tidelift_sha,tidelift_date,tidelift_url,kickstarter_sha,kickstarter_date,kickstarter_url,opencollective_sha,opencollective_date,opencollective_url,liberapay_sha,liberapay_date,liberapay_url
77212295,lagden/debug,,0,False,"{'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz', 'name': 'MIT License', 'key': 'mit', 'url': 'https://api.github.com/licenses/mit'}",master,JavaScript,2017-10-12T19:37:49Z,2019-01-10T03:24:15Z,3,2,1,42,2,1,1,3082515068,24798,10/12/2017 21:16,634.0,0,0,0,0,0,0,0,0,USR,533473,320,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126757411,itemsjs/debug,,0,False,"{'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz', 'name': 'MIT License', 'key': 'mit', 'url': 'https://api.github.com/licenses/mit'}",master,JavaScript,2019-02-20T09:51:11Z,2019-02-20T21:05:23Z,1,6,1,6,1,0,0,3082515068,24798,2/20/2019 9:51,139.0,0,0,0,0,0,0,0,0,ORG,48785,9,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84830101,luri/debug,,0,False,,master,JavaScript,2018-01-06T11:44:44Z,2018-01-06T13:44:08Z,1,0,0,4,1,0,0,3082515068,24798,1/6/2018 13:43,548.0,0,0,0,0,0,0,0,0,USR,47327,24,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59433844,complyify/debug,,0,False,"{'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz', 'name': 'MIT License', 'key': 'mit', 'url': 'https://api.github.com/licenses/mit'}",master,JavaScript,2017-03-10T05:44:51Z,2017-03-27T20:11:51Z,1,0,0,15,1,1,1,3082515068,24798,3/11/2017 15:37,849.0,0,0,0,0,0,0,0,0,ORG,154051,29,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128449574,ottava-co/debug,,0,False,,master,JavaScript,2019-03-09T00:48:31Z,2019-03-09T08:01:03Z,2,2,2,2,2,0,0,3082515068,1,3/4/2019 2:48,127.0,0,0,0,0,0,0,0,0,ORG,22672,1,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121417705,norjs/debug,,0,False,"{'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz', 'name': 'MIT License', 'key': 'mit', 'url': 'https://api.github.com/licenses/mit'}",master,JavaScript,2018-12-28T16:30:12Z,2019-01-01T00:37:13Z,1,9,1,97,1,0,0,3082515068,24798,12/28/2018 18:20,192.0,0,0,0,0,0,0,0,0,ORG,325019,191,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112121495,azu/debug,,1,False,"{'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz', 'name': 'MIT License', 'key': 'mit', 'url': 'https://api.github.com/licenses/mit'}",master,TypeScript,2018-10-04T14:33:48Z,2018-10-27T09:56:03Z,1,19,1,19,1,5,5,3082515068,24798,10/4/2018 14:57,277.0,1,1,0,0,1,1,0,0,USR,161726,36,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96170283,searchfe/debug,,0,False,,master,JavaScript,2018-08-21T07:42:33Z,2018-08-21T08:44:04Z,1,0,0,7,1,0,0,3082515068,24798,8/21/2018 7:42,322.0,0,0,0,0,0,0,0,0,ORG,33422,10,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132925509,idiocc/debug,,0,False,"{'spdx_id': 'NOASSERTION', 'node_id': 'MDc6TGljZW5zZTA=', 'name': 'Other', 'key': 'other', 'url': None}",master,JavaScript,2019-04-18T18:12:58Z,2019-05-09T09:25:44Z,1,17,1,17,1,0,1,3082515068,24798,4/19/2019 2:06,81.0,0,0,0,0,0,0,0,0,ORG,149823,77,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109360199,dokuhero/debug,,0,False,,master,TypeScript,2018-09-09T10:17:27Z,2018-09-09T14:30:39Z,1,6,1,6,1,0,0,3082515068,24798,9/9/2018 10:18,302.0,0,0,0,0,0,0,0,0,ORG,27544,4,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40430366,davidfig/debug,,0,False,"{'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz', 'name': 'MIT License', 'key': 'mit', 'url': 'https://api.github.com/licenses/mit'}",master,JavaScript,2016-07-03T00:44:27Z,2016-11-02T02:15:11Z,1,0,0,91,2,0,0,3082515068,24798,7/3/2016 0:44,1101.0,0,5,0,5,0,5,0,2,USR,7542569,7114,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105944357,l3laze/debug,,1,False,"{'spdx_id': 'MIT', 'node_id': 'MDc6TGljZW5zZTEz', 'name': 'MIT License', 'key': 'mit', 'url': 'https://api.github.com/licenses/mit'}",master,JavaScript,2018-08-05T06:03:53Z,2019-06-24T03:22:38Z,2,1,0,24,1,0,0,3082515068,24798,8/5/2018 6:03,338.0,0,0,0,0,0,0,0,0,USR,201391,96,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
